#++Start
#Google hosts 2015  BY googlehost.lofter.com	 
#GoogleZip 
74.125.201.211	proxy.googlezip.net 
74.125.201.212	check.googlezip.net 
  
#GoogleAccounts	 
216.58.220.58	accounts.blogger.com 
216.58.220.58	accounts.google.co.jp 
216.58.220.58	accounts.google.com 
216.58.220.58	accounts.google.com.hk 
216.58.220.58	accounts.google.com.sg 
216.58.220.58	accounts.google.com.tw 
216.58.220.58	accounts.l.google.com 
  
#Google.com                       
216.58.220.58	www.google.com.gr 
216.58.220.58	www.google.com.ru 
216.58.220.58	www.google.com 
216.58.220.58	www.google.com.hk 
216.58.220.58	www.google.com.tw 
216.58.220.58	www.google.com.sg 
216.58.220.58	www.google.co.jp 
216.58.220.58	www.google.ad 
216.58.220.58	www.google.ae 
216.58.220.58	www.google.com.af 
216.58.220.58	www.google.com.ag 
216.58.220.58	www.google.com.ai 
216.58.220.58	www.google.al 
216.58.220.58	www.google.am 
216.58.220.58	www.google.co.ao 
216.58.220.58	www.google.com.ar 
216.58.220.58	www.google.as 
216.58.220.58	www.google.at 
216.58.220.58	www.google.com.au 
216.58.220.58	www.google.az 
216.58.220.58	www.google.ba 
216.58.220.58	www.google.com.bd 
216.58.220.58	www.google.be 
216.58.220.58	www.google.bf 
216.58.220.58	www.google.bg 
216.58.220.58	www.google.com.bh 
216.58.220.58	www.google.bi 
216.58.220.58	www.google.bj 
216.58.220.58	www.google.com.bn 
216.58.220.58	www.google.com.bo  
216.58.220.58	www.google.com.br 
216.58.220.58	www.google.bs 
216.58.220.58	www.google.bt 
216.58.220.58	www.google.co.bw 
216.58.220.58	www.google.by 
216.58.220.58	www.google.com.bz 
216.58.220.58	www.google.ca 
216.58.220.58	www.google.cd 
216.58.220.58	www.google.cf 
216.58.220.58	www.google.cg 
216.58.220.58	www.google.ch 
216.58.220.58	www.google.ci 
216.58.220.58	www.google.co.ck 
216.58.220.58	www.google.cl 
216.58.220.58	www.google.cm 
216.58.220.58	www.google.com.co 
216.58.220.58	www.google.co.cr 
216.58.220.58	www.google.com.cu 
216.58.220.58	www.google.cv 
216.58.220.58	www.google.com.cy 
216.58.220.58	www.google.cz 
216.58.220.58	www.google.de 
216.58.220.58	www.google.dj 
216.58.220.58	www.google.dk 
216.58.220.58	www.google.dm 
216.58.220.58	www.google.com.do 
216.58.220.58	www.google.dz 
216.58.220.58	www.google.com.ec 
216.58.220.58	www.google.ee 
216.58.220.58	www.google.com.eg 
216.58.220.58	www.google.es 
216.58.220.58	www.google.com.et 
216.58.220.58	www.google.fi 
216.58.220.58	www.google.com.fj 
216.58.220.58	www.google.fm 
216.58.220.58	www.google.fr 
216.58.220.58	www.google.ga 
216.58.220.58	www.google.ge 
216.58.220.58	www.google.gg 
216.58.220.58	www.google.com.gh 
216.58.220.58	www.google.com.gi 
216.58.220.58	www.google.gl 
216.58.220.58	www.google.gm 
216.58.220.58	www.google.gp 
216.58.220.58	www.google.gr 
216.58.220.58	www.google.com.gt 
216.58.220.58	www.google.gy 
216.58.220.58	www.google.hn 
216.58.220.58	www.google.hr 
216.58.220.58	www.google.ht 
216.58.220.58	www.google.hu 
216.58.220.58	www.google.co.id 
216.58.220.58	www.google.ie 
216.58.220.58	www.google.co.il 
216.58.220.58	www.google.im 
216.58.220.58	www.google.co.in 
216.58.220.58	www.google.iq 
216.58.220.58	www.google.is 
216.58.220.58	www.google.it 
216.58.220.58	www.google.je 
216.58.220.58	www.google.com.jm 
216.58.220.58	www.google.jo 
216.58.220.58	www.google.co.ke 
216.58.220.58	www.google.com.kh 
216.58.220.58	www.google.ki 
216.58.220.58	www.google.kg 
216.58.220.58	www.google.co.kr 
216.58.220.58	www.google.com.kw 
216.58.220.58	www.google.kz 
216.58.220.58	www.google.la 
216.58.220.58	www.google.com.lb 
216.58.220.58	www.google.li 
216.58.220.58	www.google.lk 
216.58.220.58	www.google.co.ls 
216.58.220.58	www.google.lt 
216.58.220.58	www.google.lu 
216.58.220.58	www.google.lv 
216.58.220.58	www.google.com.ly 
216.58.220.58	www.google.co.ma 
216.58.220.58	www.google.md 
216.58.220.58	www.google.me 
216.58.220.58	www.google.mg 
216.58.220.58	www.google.mk 
216.58.220.58	www.google.ml 
216.58.220.58	www.google.com.mm 
216.58.220.58	www.google.mn 
216.58.220.58	www.google.ms 
216.58.220.58	www.google.com.mt 
216.58.220.58	www.google.mu 
216.58.220.58	www.google.mv 
216.58.220.58	www.google.mw 
216.58.220.58	www.google.com.mx 
